amount,amount_to_balance_ratio,amount_to_avg_ratio,txns_last_1h,txns_last_24h,amount_sent_last_1h,amount_sent_last_24h,unique_recipients_24h,is_new_recipient,hour_of_day,is_night,is_weekend,account_age_days,is_round_amount,is_blacklisted,balance_after_ratio,vpa_risk_score,ifsc_is_valid,amount_zscore,sender_has_vpa,label
6160.043716078219,0.29065324471604287,9.209071181179738,2,3,4178.822857980746,4326.973931701986,2,1,11,0,0,187,0,0,0.28375581403536443,0,0,-2.388164400952333,1,1
3301.4011177175444,0.20567230029988753,1.9080599859739178,1,1,101.11977374334278,5474.403513951526,1,0,3,1,1,48,0,0,0.9698121568154933,0,0,13.522357499730555,0,0
1521.983400666254,0.10358485969279911,1.106973113359286,0,2,58.5351193039282,0.0,1,1,10,0,0,200,0,0,0.8663836654472492,0,1,-2.562002531210099,1,0
711.4307834744181,0.19760878969871323,2.3967079318073865,0,4,78.55497690722918,1464.6262382137163,3,0,9,0,0,39,0,0,0.845347329252129,0,1,-1.423255758678763,0,0
22653.829946184196,0.8740501963879315,19.134317521480273,1,3,3911.5816179995977,1817.9410629657955,4,1,18,0,1,38,0,0,0.32473001259725054,64,0,32.21436994092685,0,1
2455.243880703489,0.8425071551215952,5.100975776821295,0,7,880.4410983141565,2385.927789698863,5,1,1,1,1,48,0,0,0.742433964740959,0,0,-1.026253226440458,0,1
814.5618925235635,0.002260196076182383,0.4667958233915557,0,0,0.0,3071.0833442938256,1,0,16,0,0,116,0,0,0.9596388388705954,0,1,-2.538093179085566,0,0
2088.668210506583,0.15857261365296074,7.600141774458457,0,1,567.6054739821263,1524.554346838741,1,0,17,0,0,145,0,0,0.8819877219666138,0,1,-2.3351500660608067,1,0
20467.57033678769,1.0593314822357127,7.246960644249635,1,2,8688.252057417396,3514.06958582653,2,1,4,0,1,55,1,0,0.14748229891677253,80,1,-0.7852069534362153,0,1
626.9716452392763,0.07266299655344725,1.7648862852006473,0,4,0.0,3845.7736462912303,4,0,11,0,0,101,0,0,0.925546847040199,11,1,-1.338100834879545,1,0
23.365931588503983,0.22542919002140976,5.795934147432357,0,1,467.0867899600528,0.0,5,0,16,0,0,67,0,0,0.8780017610266165,0,1,-1.3962857869105791,1,1
790.9047437632767,0.07048253079937862,2.189381123448103,0,1,0.0,0.0,1,0,11,0,0,344,0,0,0.9564834892712099,0,1,-2.376593092098228,1,0
23.365931588503983,0.1461067144773751,0.8497431966718321,0,0,0.0,1181.9685241800155,8,0,17,0,1,435,0,0,0.9557271091673258,0,1,-2.80963247559616,1,0
2173.107504582854,0.2552147406713494,1.8492314958288278,0,12,0.0,3590.7515856531027,1,0,13,0,0,117,0,0,0.9046524565391857,0,1,-2.0932050664672914,1,0
1246.1582620363974,0.12304963230247162,8.139607619452319,0,1,0.0,0.0,2,0,3,1,0,131,0,0,0.9566539866521658,0,1,-1.3672839283766187,1,0
