wallet_balance,total_transactions,total_sent,total_received,avg_transaction_amount,account_age_days,days_since_last_txn,txn_frequency_per_week,credit_score
14554.916385003748,20.0,20610.004356980047,41812.90613821623,868.17861094282,813.0,6.439360673168523,0.13661179607120055,549
13608.193162640204,1.0,21156.75720878257,39688.701698616256,7.065027124143862,574.0,9.392896148842338,0.008257676593677394,513
3174.096495024616,8.0,164.47660725022553,291.2030217270084,742.7055897913621,327.0,15.492847105439564,0.3509726095558814,472
720.9111494813773,1.0,2762.594105236338,3751.5117815632484,697.4771005083568,168.0,73.0301309734852,0.08118930683072333,398
2137.076363582185,56.0,6197.201635607108,8077.475284445921,2434.646118571637,142.0,5.476196156298306,2.933299626465038,494
5928.618265502951,23.0,15566.432120461412,22371.96497037958,448.3686114596495,145.0,17.948382670786046,0.7438698278202268,470
23712.706288624602,1.0,6472.578951927802,10310.229866891914,0.21811824263674906,168.0,28.902876694002114,0.03720536730390261,490
2750.503799424802,4.0,705.6605016774826,801.9248017949167,16.87442797546318,14.0,22.915730022026786,0.7858836344140436,427
36500.88317015443,24.0,52247.12941239495,106062.44292296562,416.60579983838534,642.0,8.804096584637485,0.641624278882669,592
1712.883475044303,8.0,4766.116723549198,6098.648025851153,93.02911705764078,619.0,34.97946554101875,0.06747557977045439,453
740.3149392299955,2.0,105.99980638043404,188.4188032805895,0.06778817790300319,132.0,44.30743577027322,0.07815429831084263,422
34.488341879630134,0.0,829.7796215205269,190.47353949463192,32.737775276178695,6.0,88.97055960495152,0.0004762992709124178,328
367.0434976162137,110.0,12363.97770684591,31607.748022509415,290.68969710910926,493.0,10.604186143333928,2.6330167033132676,568
12304.369302756186,75.0,8045.179459540216,30210.08458468253,208.29654088728896,663.0,2.4092846891387056,1.8166817768086434,598
18843.012730823288,110.0,18495.483196437137,38570.4116339236,3829.3058328228644,552.0,17.585331917378333,3.551526993743586,602
2260.492058733242,45.0,39252.30388302582,50913.15931796117,1382.6915089978177,344.0,2.802744904971358,1.073025222540056,500
18010.79067000067,145.0,11250.363863258332,35387.59224908683,2247.6676183607,987.0,5.277593438041661,2.460722869828895,675
5631.7940085154205,45.0,10960.970533809654,13504.418489310125,1644.9236789350846,10.0,17.30516001536298,4.09090816555004,473
62331.670358454925,79.0,66407.21380867524,172233.59343714116,2159.16167964493,1033.0,1.1124810384273982,1.2218178067779393,733
27318.164442450914,87.0,4756.384562296119,3828.80853458263,1029.9091246468183,215.0,12.818010943079049,3.8692608252073923,557
98803.89146142922,124.0,47461.846027864245,98171.36541080763,2215.552238832678,1199.0,1.6334798991545738,0.9017789810383544,792
64.21030708955152,1.0,151.54194117998514,81.52361835798389,0.6763671000182045,96.0,75.4721341388808,0.163519568071097,359
702.4218984669056,7.0,7577.0760684416,8910.596936173457,2217.7457680625284,76.0,32.35555243594702,0.6189352854662652,420
33009.23578407423,18.0,28275.464969367466,40077.106513867846,1818.116638651036,115.0,1.6842263405477265,1.448083784375631,545
5314.611876706739,16.0,2044.575620403228,3398.84809816322,86.09026412494131,529.0,22.22501839369187,0.18121740631961092,485
2533.8081254917233,17.0,11857.02043239831,28729.15757835819,701.0268530314195,366.0,18.84994274559001,0.3342208738713888,486
3268.5658268272864,31.0,4552.157407929671,13246.204524340374,3661.5174407670393,382.0,9.817521726761381,1.7330298306960443,514
180.6874996311906,8.0,1369.930269447468,1208.8327202604953,2792.7515422646193,71.0,79.87482873643083,0.6836991078330238,381
613.6728881974037,9.0,1385.145169298758,1602.9591571160217,2531.2184736447157,30.0,26.76857781173736,1.341895616333988,424
35804.6773292273,25.0,30402.68535356563,52611.71542972342,1142.2680487720468,642.0,8.91523885879344,0.4450552915969976,586
10015.306367553694,72.0,5409.80781760706,13362.715620670995,412.2937253098718,769.0,11.630185250832188,1.4730058483256026,575
21168.52442242082,20.0,7952.576321937253,8395.416291923513,1060.2100209162932,217.0,16.026279865024744,0.7452014094618561,499
7255.785613182196,2.0,10798.108400736985,7694.208240264044,37.571210819710195,29.0,46.021975257393045,0.20653355385366734,397
10466.611268402206,10.0,7014.106892149638,18990.322423992275,542.9149804677511,188.0,2.4920317863248433,0.34516484752233956,510
6653.506167987459,47.0,13601.944377898546,19853.985298413743,770.8913072802058,355.0,5.3787904254712275,1.2640124744083876,514
1955.784394754673,46.0,708.486859802222,402.6348541904978,1995.1433338668994,52.0,25.982333681943892,2.9535296016630075,430
2071.978773626579,0.0,5859.796048567804,6075.495773920522,419.4836126978488,86.0,29.586136160660562,0.008312690761526189,386
24008.27805766043,16.0,5174.547179826355,8514.196279687412,524.4143333239447,437.0,11.430032801976383,0.8008357664645952,535
863.0515019674182,3.0,2043.8351237330758,2491.776046210562,838.0516132191732,51.0,61.98812022406405,0.4015391951561447,390
20113.286668313744,6.0,8299.0227235753,14375.641683894039,226.18004188374047,254.0,33.54131567255302,0.2393991123496149,488
10082.52080798299,0.0,5962.353134093151,17438.02034505578,0.26128132862763115,881.0,5.3315613095907155,3.703279692163504e-05,484
540.4173416166434,5.0,731.8221433377655,323.4448925751408,460.1356986843545,22.0,27.041110402110384,1.3388567881037923,385
663.7759654604552,27.0,1384.6534581630995,992.0861435646615,2080.852150824477,250.0,21.702086115252552,2.097991604727071,436
782.6407141729896,0.0,9562.020586647479,11793.468843950546,5184.7591585483015,46.0,63.975908052460994,0.11451244522230307,387
3617.624444499226,0.0,137.65635519328964,186.56269412839484,123.20119348004508,2.0,38.43390906534863,0.7034330911775399,395
3586.6626815172035,26.0,4923.341891536075,9049.917119871328,84.09653403895655,334.0,29.818793775123396,1.1443416947965326,474
